DATE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10/01/1986,2.730000019,1.789999962,1.460000038,1.269999981,1.570000052,1.110000014,0.860000014,0.860000014,0.879999995,0.949999988,1,0.930000007,0.850000024,0.889999986,0.769999981,0.920000017,0.75999999
10/02/1986,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
10/03/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/04/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/05/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/06/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/07/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/08/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/09/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/10/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/11/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/12/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/13/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/14/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/16/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/17/1986,0.300000012,0.439999998,0.689999998,0.75999999,0.730000019,0.879999995,0.670000017,0.670000017,0.540000021,0.810000002,0.889999986,0.870000005,0.899999976,0.829999983,0.99000001,1.169999957,0.829999983
10/18/1986,1.950000048,2.140000105,2.119999886,2.230000019,2.180000067,2.339999914,2.029999971,2.029999971,1.75,2.170000076,2.440000057,2.660000086,2.710000038,2.400000095,2.109999895,2.299999952,2.529999971
10/19/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/20/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/21/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/22/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/23/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/24/1986,0.639999986,0.579999983,0.600000024,0.660000026,0.610000014,0.75,0.920000017,0.920000017,0.870000005,0.790000021,1.029999971,0.980000019,0.959999979,0.949999988,0.810000002,0.660000026,0.850000024
10/25/1986,18.42000008,17.73999977,17.73999977,18.04999924,18.34000015,16,10.06999969,10.06999969,7.460000038,13.46000004,10.23999977,10.23999977,10.56999969,11.80000019,14.06000042,19.20000076,12.46000004
