DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
10/01/1986,1.756219386,2.080045613,2.078347044,2.159069897,2.084235454,2.285214793,2.15626716,2.154882347,2.200082051,2.129126776,2.271422431,2.449238275,2.613736717,2.436347443,2.377226561,2.276597006,2.650478892
10/02/1986,2.142354128,2.709349709,2.718054046,2.814163663,2.70248989,2.894784397,2.699495255,2.699381278,2.872700793,2.763593361,2.849856573,3.030384706,3.244397575,3.057537961,3.011048145,2.870041121,3.277679121
10/03/1986,2.60757502,3.056799808,3.049686453,3.095100603,3.010588095,3.054026312,2.825048859,2.825291445,3.016257651,2.950158565,2.876643556,2.971984565,3.131632023,2.9958638,2.946398617,2.979465171,3.08291536
10/04/1986,3.487947473,4.073175499,4.020021307,4.104731805,3.954149467,3.924500976,3.684744826,3.686557768,4.050193093,3.938096558,3.694695847,3.67303361,3.847136294,3.68777692,3.593417234,3.721795501,3.644675654
10/05/1986,3.092949498,3.733967143,3.717609492,3.771162545,3.655034278,3.634736277,3.488183552,3.489852924,3.81709062,3.703160648,3.485941221,3.500526496,3.698418549,3.527252801,3.465369049,3.468434062,3.551983547
10/06/1986,5.316803693,5.785863906,5.734721188,5.72995541,5.588038128,5.41791416,5.079832431,5.084612342,5.457558048,5.386674555,5.011183097,4.925271551,5.249146611,4.955729473,4.855837424,5.198710826,4.879153964
10/07/1986,6.063726845,6.369974457,6.427457011,6.309255968,6.364311071,5.955687665,5.633279213,5.639332778,6.081621392,5.963553088,5.614878569,5.570094203,5.852547167,5.548242973,5.438435894,5.811591016,5.499186242
10/08/1986,5.543910899,5.849588393,5.787529672,5.868070962,5.776938167,5.240798839,4.732784765,4.737166274,5.507539962,5.350357453,4.556337074,4.198293359,4.49673631,4.220945064,4.1556961,4.88655148,3.697404739
10/09/1986,4.264819013,4.587661343,4.500266226,4.563887232,4.391482876,4.128391058,3.795267769,3.797803999,4.408323864,4.263967714,3.616513714,3.332850808,3.310511433,3.390301494,3.352436307,3.778147767,3.199322232
10/10/1986,2.845036838,3.271072482,3.227798196,3.221313353,3.134305371,2.980154718,2.672569427,2.673323082,2.999724703,2.953535208,2.598162654,2.557150715,2.624563905,2.613378497,2.58901277,2.850463368,2.590938173
10/11/1986,5.136178315,5.281025043,5.31140722,5.538442611,5.458889911,5.562714416,4.892369307,4.896818644,5.233815513,5.056458624,4.884235844,4.969938762,5.13134689,5.082807028,5.050098387,5.570793222,5.373817329
10/12/1986,5.911055067,6.168914198,6.226840776,6.513577245,6.368241581,6.669854286,6.066244851,6.073160442,6.308959121,6.106042449,6.223625453,6.709336714,7.142983473,6.661887853,6.570352764,6.671159773,7.169907788
10/13/1986,3.54777287,3.673916144,3.672331594,3.687148684,3.666036117,3.580787852,3.256196369,3.259282865,3.42913835,3.392353602,3.20289275,3.240796597,3.262996187,3.284552982,3.328376175,3.506840791,3.426657101
